pwm total instruction_count: 3341
Avg current: 302
Instr	Op	Line
Store	=	3
Load	=	3
Store	=	4
Load	=	4
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
Jump	for	5
Store	=	5
Load	=	5
Load	<	5
Cmp	<	5
Load	<	5
Load	++	5
Add	++	5
Store	++	5
Jump	if	7
Load	==	7
Cmp	==	7
Load	==	7
